x,y,z,label
-5.426811,-3.1346366,0.4068814,Travail en équipe
-29.673351,9.053196,-0.5783785,Secrétariat médical ( Secrétariat )
-18.953093,-4.497663,5.6361938,Analyses - mesures
17.770975,-1.8237114,-19.000662,Mode et stylisme
-9.970373,5.1710052,10.482732,Services à la personne et à la collectivité - Recherche
20.595934,3.628247,-12.642829,Chapellerie
0.21579215,-17.740788,-0.50628585,"Construction, Bâtiment et Travaux publics - Extraction"
4.6996117,-5.3400974,11.340949,Industrie - Electronique et électricité
4.230188,-17.008234,19.500666,Réparations automobile et d'articles domestiques
18.029194,-4.3405323,-3.2990675,Pose et dépose de revêtements de sol et muraux ( BTP - construction - aménagement )
2.6337292,18.025835,-17.037415,Spectacle - Techniciens du spectacle
-6.5862446,-10.403848,-13.799723,Gestion de réseau et télécom ( Réseau et télécom )
5.4268928,5.1385927,-15.470502,Editeur multimédia
20.469803,-4.9841495,-12.805465,"Techniques et procédés des industries textile, de la chaussure et du cuir ( Fabrication et transformation d'éléments )"
2.8489735,19.035315,-17.311987,Spectacle
-10.102827,13.625654,-9.190555,Thalassothérapie
7.174461,-4.8863764,-13.463997,Conception Web ( Informatique - numérique )
-21.344484,6.1895585,6.3753934,Prévention et gestion des risques
-6.9975123,12.430603,-9.57968,"Hôtellerie-Restauration, Tourisme, Loisirs et Animation - Service"
-9.346654,7.5389853,12.842637,Services à la personne et à la collectivité - Services funéraires
-29.269009,9.805639,0.08614638,Médical
-3.4900956,6.413729,-9.96488,Animation commerciale ( Achat - vente )
26.101072,-8.934859,-8.567912,Tissage
-4.1200123,8.383295,2.1111948,Services hôteliers ( Hôtellerie )
-6.751182,1.3776025,21.324806,Armée
-8.084092,0.02644351,0.9999391,GPEC ( Ressources Humaines )
-12.318312,-6.332499,-10.360064,Banque - assurance - finance - fiscalité
4.926519,7.508538,-14.481776,"Communication, Média et Multimédia"
9.639987,-14.0291195,7.518095,Chauffage
2.873208,-15.850574,14.63022,Installation et Maintenance - Encadrement
6.2088366,-20.089733,3.454335,Aménagements - agencements extérieurs ( BTP - construction - aménagement )
-13.195551,13.683374,6.990592,Décontamination - dépollution ( Nettoyage - entretien )
9.752118,-11.397281,14.851095,Electronique ( Electricité - électronique - génie mécanique )
0.93544096,20.187073,4.139913,Sylviculture
-14.485078,15.3910475,5.7110124,Transmission de ses savoirs professionnels
24.30717,-2.1854868,-4.883114,Routage de produits imprimés ( Impression - prépresse - reprographie )
8.542889,-0.7463858,1.7793735,Industrie graphique
-13.403292,27.029474,9.982629,Reproduction animale ( Santé animale )
4.7258205,2.5933495,3.6898015,"Industrie - Direction, encadrement et pilotage de fabrication et production industrielles"
3.201111,6.429701,-6.163164,"Commerce, Vente et Grande distribution - Force de vente"
-10.395566,10.304999,-11.107308,Evènementiel
6.4396963,25.162386,8.12615,Grande pêche
7.2968454,-8.168259,6.7829924,Distribution d'eau potable
20.198242,-2.0121574,3.8217392,"Verre, matériaux de construction"
16.389063,-8.018586,17.075249,Horlogerie ( Métiers d'art )
-5.714174,13.990125,-7.3581185,"Hôtellerie-Restauration, Tourisme, Loisirs et Animation - Conception, commercialisation et vente de produits touristiques"
-9.814519,5.436108,8.011851,Services à la personne et à la collectivité - Culture et gestion documentaire
8.018942,-5.0648317,18.979755,Mécanique
-0.8564463,-23.330988,-4.0416393,Extraction de roches ( Extraction )
23.29233,-2.918841,5.532015,Verre
-3.086351,7.587185,3.2627397,Services à la personne
-12.282181,2.8854318,-1.9058756,"Gestion de situations interpersonnelles, difficiles ou d'urgence"
28.549938,3.3899024,1.5041165,Bobinage ( Electricité - électronique - génie mécanique )
-10.059764,2.6381507,7.41314,Services à la personne et à la collectivité - Formation initiale et continue
1.9471096,4.69451,-6.3977823,Achat - vente
13.60119,-13.814516,-10.099858,Manipulation de chiffres des ordres de grandeur
2.7372997,-6.4163527,-6.474045,Recherche et développement
5.141672,17.71331,-19.562399,Spectacle et audiovisuel
-8.8351755,6.0448017,-8.122509,Relation client en hôtellerie ( Hôtellerie )
-21.214245,7.151641,6.3952284,Prévention des risques ( Prévention et gestion des risques )
4.8969693,17.443016,-19.252913,Création artistique pour le spectacle et l'audiovisuel ( Spectacle et audiovisuel )
-12.797615,26.189016,8.691646,Santé animale
-3.9377778,7.0618386,11.320253,Services à la personne et à la collectivité - Nettoyage et propreté industriels
-5.8655176,-8.333462,10.436769,Règlementation sanitaire - règles d'hygiène
